shop_id,shop_name,branch_name,file_dt
81,Michael,Phuket,2026-01-02
43,Andrew,Bangkok,2026-01-02
106,Joseph,Chonburi,2026-01-02
6,Ethan,Hat Yai,2026-01-02
62,Nicholas,Chonburi,2026-01-02
103,Nicholas,Udon Thani,2026-01-02
116,Nicholas,Chiang Mai,2026-01-02
39,Thomas,Nakhon Ratchasima,2026-01-02
14,Alexander,Nakhon Ratchasima,2026-01-02
22,Joseph,Phuket,2026-01-02
99,Alexander,Chiang Mai,2026-01-02
137,William,Bangkok,2026-01-02
128,James,Ayutthaya,2026-01-02
53,Robert,Khon Kaen,2026-01-02
104,Michael,Chonburi,2026-01-02
137,Charles,Hat Yai,2026-01-02
72,Ryan,Nakhon Ratchasima,2026-01-02
115,Jacob,Nakhon Ratchasima,2026-01-02
133,John,Pattaya,2026-01-02
18,Alexander,Pattaya,2026-01-02
79,William,Pattaya,2026-01-02
21,James,Udon Thani,2026-01-02
80,Daniel,Khon Kaen,2026-01-02
63,Robert,Bangkok,2026-01-02
,William,Udon Thani,2026-01-02
41,Thomas,Udon Thani,2026-01-02
44,William,Pattaya,2026-01-02
106,John,Hat Yai,2026-01-02
11,Benjamin,Phuket,2026-01-02
76,James,Nakhon Ratchasima,2026-01-02
26,William,Udon Thani,2026-01-02
149,Ryan,Phuket,2026-01-02
49,Jacob,Ayutthaya,2026-01-02
102,Michael,Hat Yai,2026-01-02
54,James,Ayutthaya,2026-01-02
86,Nicholas,Khon Kaen,2026-01-02
130,John,Pattaya,2026-01-02
56,John,Bangkok,2026-01-02
92,Benjamin,Chiang Mai,2026-01-02
123,Ryan,Bangkok,2026-01-02
40,Michael,Udon Thani,2026-01-02
12,Joseph,Bangkok,2026-01-02
115,Ryan,Udon Thani,2026-01-02
71,Benjamin,Hat Yai,2026-01-02
67,Michael,Chonburi,2026-01-02
132,Nicholas,Udon Thani,2026-01-02
74,Charles,Udon Thani,2026-01-02
99,Nicholas,Chiang Mai,2026-01-02
55,David,Khon Kaen,2026-01-02
64,Matthew,Udon Thani,2026-01-02
38,Ryan,Ayutthaya,2026-01-02
136,Benjamin,Chonburi,2026-01-02
68,Joseph,Chonburi,2026-01-02
