shop_id,shop_name,branch_name,file_dt
9,Ethan,Chonburi,2026-01-01
147,Jacob,Pattaya,2026-01-01
92,Ethan,Udon Thani,2026-01-01
17,David,Pattaya,2026-01-01
40,Matthew,Ayutthaya,2026-01-01
81,Benjamin,Chonburi,2026-01-01
56,Ethan,Udon Thani,2026-01-01
124,Ryan,Bangkok,2026-01-01
94,John,Hat Yai,2026-01-01
137,Jacob,Ayutthaya,2026-01-01
8,Daniel,Pattaya,2026-01-01
3,Christopher,Phuket,2026-01-01
30,Matthew,Phuket,2026-01-01
118,Alexander,Phuket,2026-01-01
48,Charles,Udon Thani,2026-01-01
126,Robert,Nakhon Ratchasima,2026-01-01
119,Benjamin,Phuket,2026-01-01
49,David,Khon Kaen,2026-01-01
101,John,Hat Yai,2026-01-01
42,John,Pattaya,2026-01-01
28,Charles,Bangkok,2026-01-01
140,Jacob,Udon Thani,2026-01-01
6,Benjamin,Bangkok,2026-01-01
144,Robert,Chiang Mai,2026-01-01
87,Matthew,Ayutthaya,2026-01-01
26,Andrew,Chonburi,2026-01-01
144,James,Chiang Mai,2026-01-01
102,Michael,Ayutthaya,2026-01-01
91,Thomas,Udon Thani,2026-01-01
13,Alexander,Chonburi,2026-01-01
53,Matthew,Ayutthaya,2026-01-01
95,Joseph,Bangkok,2026-01-01
64,James,Chiang Mai,2026-01-01
69,James,Khon Kaen,2026-01-01
47,Daniel,Udon Thani,2026-01-01
118,Thomas,Khon Kaen,2026-01-01
15,Robert,Nakhon Ratchasima,2026-01-01
39,Alexander,Nakhon Ratchasima,2026-01-01
68,William,Chiang Mai,2026-01-01
53,Benjamin,Chonburi,2026-01-01
46,Jacob,Hat Yai,2026-01-01
90,Ethan,Nakhon Ratchasima,2026-01-01
113,John,Chiang Mai,2026-01-01
123,William,Bangkok,2026-01-01
75,Ryan,Ayutthaya,2026-01-01
52,Matthew,Chonburi,2026-01-01
131,William,Nakhon Ratchasima,2026-01-01
2,Matthew,Pattaya,2026-01-01
126,Matthew,Bangkok,2026-01-01
139,John,Bangkok,2026-01-01
66,Joseph,Chiang Mai,2026-01-01
25,Michael,Ayutthaya,2026-01-01
140,Andrew,Chonburi,2026-01-01
121,Christopher,Pattaya,2026-01-01
133,Benjamin,Ayutthaya,2026-01-01
4,William,Ayutthaya,2026-01-01
88,Benjamin,Pattaya,2026-01-01
125,Michael,Pattaya,2026-01-01
73,Robert,Udon Thani,2026-01-01
148,Jacob,Chonburi,2026-01-01
62,Alexander,Ayutthaya,2026-01-01
27,Thomas,Chonburi,2026-01-01
5,Michael,Chonburi,2026-01-01
28,Daniel,Chiang Mai,2026-01-01
116,Christopher,Pattaya,2026-01-01
150,Jacob,Ayutthaya,2026-01-01
30,Andrew,Chiang Mai,2026-01-01
20,William,Hat Yai,2026-01-01
112,Benjamin,Udon Thani,2026-01-01
11,Daniel,Ayutthaya,2026-01-01
70,Ethan,Phuket,2026-01-01
,Christopher,Chiang Mai,2026-01-01
43,John,Hat Yai,2026-01-01
35,Thomas,Pattaya,2026-01-01
20,David,Ayutthaya,2026-01-01
37,Robert,Ayutthaya,2026-01-01
10,James,Ayutthaya,2026-01-01
96,Jacob,Ayutthaya,2026-01-01
145,William,Chiang Mai,2026-01-01
31,Christopher,Chiang Mai,2026-01-01
136,Daniel,Bangkok,2026-01-01
110,William,Nakhon Ratchasima,2026-01-01
36,Matthew,Chiang Mai,2026-01-01
82,Michael,Chiang Mai,2026-01-01
106,Jacob,Chonburi,2026-01-01
34,Robert,Hat Yai,2026-01-01
118,Joseph,Chiang Mai,2026-01-01
143,Ethan,Chiang Mai,2026-01-01
21,Thomas,Chonburi,2026-01-01
77,William,Phuket,2026-01-01
71,Ethan,Chiang Mai,2026-01-01
135,Daniel,Khon Kaen,2026-01-01
65,Ryan,Khon Kaen,2026-01-01
93,William,Pattaya,2026-01-01
79,Thomas,Khon Kaen,2026-01-01
57,Michael,Bangkok,2026-01-01
41,Christopher,Hat Yai,2026-01-01
,Benjamin,Bangkok,2026-01-01
73,Daniel,Hat Yai,2026-01-01
68,Robert,Udon Thani,2026-01-01
145,Michael,Pattaya,2026-01-01
109,Daniel,Chiang Mai,2026-01-01
28,Benjamin,Hat Yai,2026-01-01
59,Robert,Nakhon Ratchasima,2026-01-01
16,Joseph,Khon Kaen,2026-01-01
129,John,Phuket,2026-01-01
72,Andrew,Ayutthaya,2026-01-01
,Daniel,Khon Kaen,2026-01-01
60,Michael,Nakhon Ratchasima,2026-01-01
67,Andrew,Nakhon Ratchasima,2026-01-01
90,Andrew,Nakhon Ratchasima,2026-01-01
128,Daniel,Nakhon Ratchasima,2026-01-01
23,Alexander,Ayutthaya,2026-01-01
29,John,Pattaya,2026-01-01
81,Matthew,Pattaya,2026-01-01
100,Christopher,Chiang Mai,2026-01-01
14,Matthew,Bangkok,2026-01-01
81,Christopher,Khon Kaen,2026-01-01
40,Christopher,Phuket,2026-01-01
68,David,Hat Yai,2026-01-01
97,Christopher,Chonburi,2026-01-01
115,Joseph,Chiang Mai,2026-01-01
136,James,Ayutthaya,2026-01-01
89,Ryan,Pattaya,2026-01-01
33,John,Khon Kaen,2026-01-01
12,Benjamin,Bangkok,2026-01-01
46,Joseph,Nakhon Ratchasima,2026-01-01
103,Christopher,Khon Kaen,2026-01-01
127,Nicholas,Udon Thani,2026-01-01
99,Michael,Bangkok,2026-01-01
114,Ryan,Nakhon Ratchasima,2026-01-01
107,Nicholas,Pattaya,2026-01-01
117,Daniel,Ayutthaya,2026-01-01
19,Michael,Nakhon Ratchasima,2026-01-01
150,Michael,Nakhon Ratchasima,2026-01-01
63,Matthew,Ayutthaya,2026-01-01
12,Benjamin,Pattaya,2026-01-01
7,James,Chiang Mai,2026-01-01
38,Christopher,Phuket,2026-01-01
138,Joseph,Bangkok,2026-01-01
58,William,Phuket,2026-01-01
91,Ryan,Nakhon Ratchasima,2026-01-01
61,Charles,Chonburi,2026-01-01
24,William,Nakhon Ratchasima,2026-01-01
86,Ryan,Phuket,2026-01-01
132,Alexander,Khon Kaen,2026-01-01
73,Daniel,Phuket,2026-01-01
22,Matthew,Bangkok,2026-01-01
44,Charles,Khon Kaen,2026-01-01
122,Alexander,Ayutthaya,2026-01-01
131,Charles,Khon Kaen,2026-01-01
55,Christopher,Phuket,2026-01-01
102,David,Khon Kaen,2026-01-01
114,John,Nakhon Ratchasima,2026-01-01
120,Matthew,Udon Thani,2026-01-01
83,Nicholas,Chiang Mai,2026-01-01
3,Alexander,Chonburi,2026-01-01
149,John,Chonburi,2026-01-01
72,Michael,Khon Kaen,2026-01-01
54,Charles,Hat Yai,2026-01-01
74,Thomas,Phuket,2026-01-01
142,David,Khon Kaen,2026-01-01
1,William,Bangkok,2026-01-01
141,Ethan,Ayutthaya,2026-01-01
142,David,Nakhon Ratchasima,2026-01-01
78,James,Chiang Mai,2026-01-01
146,Charles,Chiang Mai,2026-01-01
138,Daniel,Ayutthaya,2026-01-01
45,Michael,Pattaya,2026-01-01
98,Christopher,Bangkok,2026-01-01
54,Christopher,Chiang Mai,2026-01-01
108,Nicholas,Nakhon Ratchasima,2026-01-01
50,David,Pattaya,2026-01-01
33,Alexander,Hat Yai,2026-01-01
142,Robert,Bangkok,2026-01-01
76,James,Chonburi,2026-01-01
104,Nicholas,Pattaya,2026-01-01
84,Ryan,Phuket,2026-01-01
105,Ryan,Phuket,2026-01-01
149,Matthew,Bangkok,2026-01-01
80,Christopher,Bangkok,2026-01-01
130,Charles,Bangkok,2026-01-01
77,Joseph,Udon Thani,2026-01-01
32,Charles,Khon Kaen,2026-01-01
24,Benjamin,Khon Kaen,2026-01-01
81,Christopher,Chonburi,2026-01-01
18,Christopher,Hat Yai,2026-01-01
85,David,Udon Thani,2026-01-01
12,James,Hat Yai,2026-01-01
18,Joseph,Chiang Mai,2026-01-01
111,Thomas,Nakhon Ratchasima,2026-01-01
94,Christopher,Chiang Mai,2026-01-01
,Ryan,Ayutthaya,2026-01-01
34,Matthew,Phuket,2026-01-01
,Christopher,Bangkok,2026-01-01
50,Charles,Hat Yai,2026-01-01
64,Matthew,Phuket,2026-01-01
10,Thomas,Chonburi,2026-01-01
138,John,Hat Yai,2026-01-01
134,Nicholas,Phuket,2026-01-01
